date,price
15-07-24,13.04
16-07-24,14.49
17-07-24,14.49
18-07-24,14.49
19-07-24,14.49
20-07-24,14.49
21-07-24,14.49
22-07-24,14.49
23-07-24,14.49
24-07-24,13.99
25-07-24,13.99
26-07-24,13.99
27-07-24,13.99
28-07-24,13.99
29-07-24,13.99
30-07-24,13.99
31-07-24,13.99
01-08-24,13.99
02-08-24,13.99
03-08-24,13.49
04-08-24,13.49
05-08-24,13.49
06-08-24,13.49
07-08-24,13.49
08-08-24,13.49
09-08-24,13.49
10-08-24,13.49
11-08-24,13.49
12-08-24,13.49
13-08-24,13.49
15-08-24,13.49
16-08-24,13.49
17-08-24,13.49
18-08-24,13.99
19-08-24,13.99
20-08-24,13.99
21-08-24,13.99
22-08-24,13.99
23-08-24,13.99
24-08-24,13.99
25-08-24,13.99
26-08-24,13.99
28-08-24,13.99
29-08-24,13.99
30-08-24,13.99
01-09-24,8.95
02-09-24,13.99
03-09-24,13.99
04-09-24,13.99
